movieId,links__imdbId,links__tmdbId,movies (1)__title,movies (1)__genres,ratings (1)__userId,ratings (1)__rating,ratings (1)__timestamp,tags (1)__userId,tags (1)__tag,tags (1)__timestamp
164,112857,8512.0,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,79.0,5.0,975281545.0,,,
165,112864,1572.0,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,6.0,3.0,845553146.0,,,
166,112887,13552.0,"Doom Generation, The (1995)",Comedy|Crime|Drama,182.0,1.5,1055156234.0,,,
168,113071,6520.0,First Knight (1995),Action|Drama|Romance,6.0,5.0,845553695.0,,,
169,113114,9073.0,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,181.0,3.0,845470321.0,,,
170,113243,10428.0,Hackers (1995),Action|Adventure|Crime|Thriller,6.0,3.0,845554263.0,,,
171,113464,17447.0,Jeffrey (1995),Comedy|Drama,4.0,3.0,945078428.0,,,
172,113481,9886.0,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,15.0,1.0,1299424762.0,,,
173,113492,9482.0,Judge Dredd (1995),Action|Crime|Sci-Fi,19.0,1.0,965703997.0,,,
174,113500,19326.0,Jury Duty (1995),Comedy,6.0,3.0,845554479.0,,,
175,113540,9344.0,Kids (1995),Drama,23.0,3.0,1107162721.0,424.0,controversial,1457901665.0
176,113677,9071.0,Living in Oblivion (1995),Comedy,4.0,5.0,964622565.0,,,
177,113690,8973.0,Lord of Illusions (1995),Horror,6.0,3.0,845554931.0,,,
178,107447,15730.0,Love & Human Remains (1993),Comedy|Drama,191.0,1.0,829760898.0,,,
179,113729,47608.0,Mad Love (1995),Drama|Romance,6.0,1.0,845555362.0,,,
180,113749,2293.0,Mallrats (1995),Comedy|Romance,6.0,2.0,845555006.0,,,
181,113820,9070.0,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,6.0,3.0,845553938.0,,,
183,110604,48787.0,Mute Witness (1994),Comedy|Horror|Thriller,325.0,4.0,1039396567.0,,,
184,110620,34574.0,Nadja (1994),Drama,603.0,4.0,963179880.0,,,
185,113957,1642.0,"Net, The (1995)",Action|Crime|Thriller,6.0,3.0,845553283.0,474.0,computers,1137375604.0
186,113986,11472.0,Nine Months (1995),Comedy|Romance,6.0,3.0,845553619.0,,,
187,114095,36196.0,Party Girl (1995),Comedy,9.0,3.0,1044657119.0,,,
188,114194,11980.0,"Prophecy, The (1995)",Fantasy|Horror|Mystery,136.0,5.0,832451540.0,,,
189,114241,58372.0,Reckless (1995),Comedy|Fantasy,6.0,3.0,845556241.0,,,
190,114323,32646.0,Safe (1995),Thriller,4.0,2.0,945079259.0,,,
191,114345,10533.0,"Scarlet Letter, The (1995)",Drama|Romance,6.0,2.0,845554931.0,,,
193,114436,10802.0,Showgirls (1995),Drama,14.0,3.0,835441371.0,,,
194,114478,10149.0,Smoke (1995),Comedy|Drama,32.0,5.0,856737270.0,,,
195,114496,18402.0,Something to Talk About (1995),Comedy|Drama|Romance,6.0,4.0,845554455.0,,,
196,114508,9348.0,Species (1995),Horror|Sci-Fi,6.0,3.0,845553586.0,,,
198,114558,281.0,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,57.0,3.0,965798823.0,,,
199,58450,5967.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,40.0,3.0,832060204.0,474.0,Made me cry,1137203124.0
201,114663,47939.0,Three Wishes (1995),Drama|Fantasy,6.0,3.0,845556290.0,,,
202,114702,36834.0,Total Eclipse (1995),Drama|Romance,606.0,3.0,1172015598.0,,,
203,114682,9090.0,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,32.0,4.0,856737166.0,,,
204,114781,3512.0,Under Siege 2: Dark Territory (1995),Action,6.0,3.0,845553619.0,,,
205,114798,52856.0,Unstrung Heroes (1995),Comedy|Drama,6.0,3.0,845555477.0,,,
206,114805,77350.0,Unzipped (1995),Documentary,385.0,2.0,839867522.0,,,
207,114887,9560.0,"Walk in the Clouds, A (1995)",Drama|Romance,6.0,4.0,845554024.0,,,
208,114898,9804.0,Waterworld (1995),Action|Adventure|Sci-Fi,6.0,3.0,845553253.0,,,
209,114928,31611.0,White Man's Burden (1995),Drama,6.0,3.0,845556106.0,,,
210,114938,65796.0,Wild Bill (1995),Western,6.0,4.0,845556310.0,,,
211,109340,49805.0,"Browning Version, The (1994)",Drama,28.0,3.0,1242107980.0,,,
212,112602,26258.0,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,6.0,4.0,845556181.0,,,
213,111579,50797.0,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,105.0,4.5,1446610221.0,,,
214,110882,19155.0,Before the Rain (Pred dozhdot) (1994),Drama|War,84.0,4.0,858771796.0,,,
215,112471,76.0,Before Sunrise (1995),Drama|Romance,4.0,5.0,945079078.0,474.0,generation X,1138040410.0
216,112508,11017.0,Billy Madison (1995),Comedy,1.0,5.0,964981208.0,474.0,school,1137373675.0
217,112438,37141.0,"Babysitter, The (1995)",Drama|Thriller,6.0,3.0,845555382.0,,,
218,112571,9382.0,Boys on the Side (1995),Comedy|Drama,6.0,2.0,845553994.0,,,
219,112757,6715.0,"Cure, The (1995)",Drama,6.0,3.0,845556131.0,,,
220,112643,18256.0,Castle Freak (1995),Horror,604.0,3.0,832080636.0,,,
222,112679,22625.0,Circle of Friends (1995),Drama|Romance,4.0,1.0,945629040.0,474.0,Ireland,1137181644.0
223,109445,2292.0,Clerks (1994),Comedy,1.0,3.0,964980985.0,424.0,cynical,1457844066.0
224,112883,1909.0,Don Juan DeMarco (1995),Comedy|Drama|Romance,6.0,3.0,845553794.0,474.0,mental illness,1138137516.0
225,109635,8984.0,Disclosure (1994),Drama|Thriller,6.0,4.0,845553381.0,,,
227,109676,4954.0,Drop Zone (1994),Action|Thriller,42.0,4.0,996221233.0,,,
228,112854,62488.0,Destiny Turns on the Radio (1995),Comedy,40.0,3.0,832060190.0,,,
229,109579,10531.0,Death and the Maiden (1994),Drama|Thriller,191.0,5.0,829760897.0,,,
230,109642,11929.0,Dolores Claiborne (1995),Drama|Thriller,6.0,5.0,845553966.0,474.0,Stephen King,1138137506.0
231,109686,8467.0,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,1.0,5.0,964981179.0,,,
232,111797,10451.0,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,4.0,5.0,964622684.0,474.0,In Netflix queue,1137201027.0
233,109759,20156.0,Exotica (1994),Drama,101.0,4.0,968440983.0,,,
234,109758,18395.0,Exit to Eden (1994),Comedy,6.0,2.0,845554176.0,,,
235,109707,522.0,Ed Wood (1994),Comedy|Drama,1.0,4.0,964980908.0,474.0,movie business,1137181651.0
236,113117,397.0,French Kiss (1995),Action|Comedy|Romance,6.0,4.0,845553559.0,,,
237,113097,10525.0,Forget Paris (1995),Comedy|Romance,6.0,4.0,845553875.0,474.0,basketball,1138137528.0
238,113028,27985.0,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,27.0,3.0,962685525.0,,,
239,113198,15789.0,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,6.0,3.0,845554987.0,,,
240,113303,27303.0,Hideaway (1995),Thriller,6.0,3.0,845555571.0,,,
241,113089,21183.0,Fluke (1995),Children|Drama,607.0,4.0,964744490.0,,,
242,109771,10954.0,Farinelli: il castrato (1994),Drama|Musical,160.0,2.0,971117781.0,,,
243,113199,47867.0,Gordy (1995),Children|Comedy|Fantasy,6.0,3.0,845555588.0,,,
246,110057,14275.0,Hoop Dreams (1994),Documentary,32.0,4.0,856737338.0,474.0,basketball,1137784780.0
247,110005,1024.0,Heavenly Creatures (1994),Crime|Drama,4.0,3.0,986848894.0,474.0,Australia,1137181666.0
248,110066,17207.0,Houseguest (1994),Comedy,6.0,5.0,845554263.0,573.0,bad,1186589145.0
249,110116,13701.0,Immortal Beloved (1994),Drama|Romance,33.0,3.0,939716778.0,474.0,Beethoven,1137181672.0
250,110006,14819.0,Heavyweights (Heavy Weights) (1995),Children|Comedy,6.0,4.0,845555588.0,,,
251,113360,32631.0,"Hunted, The (1995)",Action,6.0,3.0,845556257.0,,,
252,110099,11777.0,I.Q. (1994),Comedy|Romance,6.0,4.0,845553619.0,474.0,Einstein,1137374021.0
253,110148,628.0,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,5.0,3.0,847435292.0,,,
254,113463,87729.0,Jefferson in Paris (1995),Drama,6.0,3.0,845555655.0,,,
255,110189,18713.0,"Jerky Boys, The (1995)",Comedy,66.0,0.5,1113188840.0,,,
256,110216,6280.0,Junior (1994),Comedy|Sci-Fi,6.0,3.0,845553726.0,,,
257,113501,9061.0,Just Cause (1995),Mystery|Thriller,6.0,5.0,845554176.0,474.0,court,1137375555.0
258,113538,37108.0,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,6.0,3.0,845555172.0,,,
259,113552,6071.0,Kiss of Death (1995),Crime|Drama|Thriller,43.0,4.0,848994678.0,,,
260,76759,11.0,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1.0,5.0,964981680.0,63.0,classic,1443199698.0
261,110367,9587.0,Little Women (1994),Drama,5.0,4.0,847435238.0,474.0,Louisa May Alcott,1137181688.0
262,113670,19101.0,"Little Princess, A (1995)",Children|Drama,6.0,5.0,845554551.0,474.0,England,1137206203.0
263,110296,49980.0,Ladybird Ladybird (1994),Drama,606.0,4.0,1171328200.0,,,
265,103994,18183.0,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,4.0,5.0,964538468.0,,,
266,110322,4476.0,Legends of the Fall (1994),Drama|Romance|War|Western,5.0,1.0,847435311.0,,,
267,110443,11008.0,Major Payne (1995),Comedy,6.0,3.0,845554376.0,,,
269,107566,32325.0,My Crazy Life (Mi vida loca) (1993),Drama,191.0,3.0,829760898.0,,,
270,110391,43742.0,Love Affair (1994),Drama|Romance,6.0,3.0,845555172.0,,,
271,113691,28313.0,Losing Isaiah (1995),Drama,6.0,4.0,845555249.0,,,
272,110428,11318.0,"Madness of King George, The (1994)",Comedy|Drama,23.0,4.0,1107162524.0,474.0,England,1138137566.0
273,109836,3036.0,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,6.0,3.0,845553875.0,600.0,gothic,1237739064.0
274,113755,40490.0,Man of the House (1995),Comedy,6.0,4.0,845555151.0,,,
275,110538,24070.0,Mixed Nuts (1994),Comedy,217.0,2.0,955944634.0,,,
276,110516,8986.0,Milk Money (1994),Comedy|Romance,6.0,4.0,845553907.0,,,
277,110527,10510.0,Miracle on 34th Street (1994),Drama,6.0,5.0,845553844.0,474.0,Christmas,1137374027.0
278,113808,17402.0,Miami Rhapsody (1995),Comedy,294.0,1.0,966596695.0,,,
279,113896,38722.0,My Family (1995),Drama,6.0,3.0,845555436.0,474.0,In Netflix queue,1137202159.0
280,113870,8438.0,Murder in the First (1995),Drama|Thriller,58.0,5.0,847719231.0,474.0,prison,1137375585.0
281,110684,11593.0,Nobody's Fool (1994),Comedy|Drama|Romance,6.0,4.0,845554320.0,,,
282,110638,1945.0,Nell (1994),Drama,6.0,3.0,845553522.0,474.0,disability,1137375594.0
283,113967,39310.0,New Jersey Drive (1995),Crime|Drama,109.0,2.0,841275803.0,,,
284,117169,109560.0,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,594.0,4.5,1108975148.0,,,
285,106402,56428.0,Beyond Bedlam (1993),Drama|Horror,604.0,4.0,832080636.0,,,
287,110671,131957.0,Nina Takes a Lover (1994),Comedy|Romance,84.0,3.0,858772239.0,,,
288,110632,241.0,Natural Born Killers (1994),Action|Crime|Thriller,6.0,2.0,845553283.0,424.0,brutality,1457846184.0
289,110737,9058.0,Only You (1994),Comedy|Romance,6.0,3.0,845554455.0,,,
290,110729,527.0,Once Were Warriors (1994),Crime|Drama,5.0,5.0,847435311.0,474.0,In Netflix queue,1137201907.0
291,114151,18220.0,Poison Ivy II (1996),Drama|Thriller,6.0,3.0,845555571.0,,,
292,114069,6950.0,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,6.0,4.0,845553253.0,,,
293,110413,101.0,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,6.0,3.0,845553660.0,166.0,assassin,1188774484.0
294,114113,63020.0,"Perez Family, The (1995)",Comedy|Romance,262.0,3.0,840309997.0,,,
295,114210,2307.0,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,19.0,3.0,965708038.0,,,
296,110912,680.0,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1.0,3.0,964982967.0,103.0,good dialogue,1431954555.0
298,105652,25296.0,Pushing Hands (Tui shou) (1992),Drama,275.0,2.0,1049076725.0,,,
299,110889,40156.0,Priest (1994),Drama,84.0,5.0,858771796.0,,,
